ID,اسم المشروع,المجال,الوصف,الفئة المستهدفة
2979,منصة موحدة البنوك بالتحليلات التنبؤية,الأمن السيبراني,منصة موحدة مخصص لـ البنوك يعمل بالتحليلات التنبؤية ويهدف لرفع كفاءة التشغيل ضمن قطاع الأمن السيبراني.,البنوك
2980,منصة الأحياء بالبلوك تشين,العقارات,منصة مخصص لـ الأحياء يعمل بالبلوك تشين ويهدف لدعم رؤية 2030 ضمن قطاع العقارات.,الأحياء
2981,نظام المتاجر الصغيرة بالحوسبة السحابية,التجارة الإلكترونية,نظام مخصص لـ المتاجر الصغيرة يعمل بالحوسبة السحابية ويهدف لتسريع الإجراءات ضمن قطاع التجارة الإلكترونية.,المتاجر الصغيرة
2982,لوحة تحكم الأحياء السكنية بالحوسبة السحابية,المدن الذكية,لوحة تحكم مخصص لـ الأحياء السكنية يعمل بالحوسبة السحابية ويهدف لتحسين تجربة المستخدم ضمن قطاع المدن الذكية.,الأحياء السكنية
2983,نظام مراقبة المطاعم بالذكاء الاصطناعي,التجارة الإلكترونية,نظام مراقبة مخصص لـ المطاعم يعمل بالذكاء الاصطناعي ويهدف لتحسين الاستدامة ضمن قطاع التجارة الإلكترونية.,المطاعم
2984,حل رقمي المعتمرين بالواقع الافتراضي,الحج والعمرة,حل رقمي مخصص لـ المعتمرين يعمل بالواقع الافتراضي ويهدف لدعم رؤية 2030 ضمن قطاع الحج والعمرة.,المعتمرين
2985,تطبيق الشركات باستخدام إنترنت الأشياء,الأمن السيبراني,تطبيق مخصص لـ الشركات يعمل باستخدام إنترنت الأشياء ويهدف لتسريع الإجراءات ضمن قطاع الأمن السيبراني.,الشركات
2986,نظام مراقبة المولات بالواقع الافتراضي,المدن الذكية,نظام مراقبة مخصص لـ المولات يعمل بالواقع الافتراضي ويهدف لتسهيل الوصول للخدمات ضمن قطاع المدن الذكية.,المولات
2987,لوحة تحكم المصانع باستخدام إنترنت الأشياء,الطاقة,لوحة تحكم مخصص لـ المصانع يعمل باستخدام إنترنت الأشياء ويهدف لتحسين تجربة المستخدم ضمن قطاع الطاقة.,المصانع
2988,مساعد ذكي البنوك بالواقع المعزز,الأمن السيبراني,مساعد ذكي مخصص لـ البنوك يعمل بالواقع المعزز ويهدف لتحسين تجربة المستخدم ضمن قطاع الأمن السيبراني.,البنوك
2989,نظام مراقبة الأحياء بالتحليلات التنبؤية,العقارات,نظام مراقبة مخصص لـ الأحياء يعمل بالتحليلات التنبؤية ويهدف لتقليل التكاليف ضمن قطاع العقارات.,الأحياء
2990,خدمة ذكية المزارع باستخدام إنترنت الأشياء,الزراعة,خدمة ذكية مخصص لـ المزارع يعمل باستخدام إنترنت الأشياء ويهدف لتسريع الإجراءات ضمن قطاع الزراعة.,المزارع
2991,مساعد ذكي المصانع بالتحليلات التنبؤية,الطاقة,مساعد ذكي مخصص لـ المصانع يعمل بالتحليلات التنبؤية ويهدف لتحسين الاستدامة ضمن قطاع الطاقة.,المصانع
2992,نظام المتاجر الصغيرة بالبلوك تشين,التجارة الإلكترونية,نظام مخصص لـ المتاجر الصغيرة يعمل بالبلوك تشين ويهدف لدعم رؤية 2030 ضمن قطاع التجارة الإلكترونية.,المتاجر الصغيرة
2993,تطبيق الجامعات بالحوسبة السحابية,التعليم,تطبيق مخصص لـ الجامعات يعمل بالحوسبة السحابية ويهدف لتقليل الهدر ضمن قطاع التعليم.,الجامعات
2994,محرك توصيات المطاعم بالواقع الافتراضي,التجارة الإلكترونية,محرك توصيات مخصص لـ المطاعم يعمل بالواقع الافتراضي ويهدف لتحسين الاستدامة ضمن قطاع التجارة الإلكترونية.,المطاعم
2995,مساعد ذكي المزارع بالبلوك تشين,الزراعة,مساعد ذكي مخصص لـ المزارع يعمل بالبلوك تشين ويهدف لتسهيل الوصول للخدمات ضمن قطاع الزراعة.,المزارع
2996,حل رقمي كبار السن بالنماذج اللغوية,الصحة,حل رقمي مخصص لـ كبار السن يعمل بالنماذج اللغوية ويهدف لتحسين تجربة المستخدم ضمن قطاع الصحة.,كبار السن
2997,منصة الأسر باستخدام إنترنت الأشياء,المالية,منصة مخصص لـ الأسر يعمل باستخدام إنترنت الأشياء ويهدف لدعم رؤية 2030 ضمن قطاع المالية.,الأسر
2998,نظام مراقبة الأطفال بتحليل البيانات,التعليم,نظام مراقبة مخصص لـ الأطفال يعمل بتحليل البيانات ويهدف لتسريع الإجراءات ضمن قطاع التعليم.,الأطفال
2999,خدمة ذكية المنازل باستخدام إنترنت الأشياء,الطاقة,خدمة ذكية مخصص لـ المنازل يعمل باستخدام إنترنت الأشياء ويهدف لتسهيل الوصول للخدمات ضمن قطاع الطاقة.,المنازل
3000,نظام الحملات بالواقع الافتراضي,الحج والعمرة,نظام مخصص لـ الحملات يعمل بالواقع الافتراضي ويهدف لتقليل الهدر ضمن قطاع الحج والعمرة.,الحملات
3001,منصة المجمعات السكنية بالذكاء الاصطناعي,العقارات,منصة مخصص لـ المجمعات السكنية يعمل بالذكاء الاصطناعي ويهدف لرفع كفاءة التشغيل ضمن قطاع العقارات.,المجمعات السكنية
3002,حل رقمي النخيل بالحوسبة السحابية,الزراعة,حل رقمي مخصص لـ النخيل يعمل بالحوسبة السحابية ويهدف لرفع جودة الحياة ضمن قطاع الزراعة.,النخيل
3003,نظام مراقبة المصانع بالبلوك تشين,الطاقة,نظام مراقبة مخصص لـ المصانع يعمل بالبلوك تشين ويهدف لتقليل الهدر ضمن قطاع الطاقة.,المصانع
3004,نظام المزارع بالبلوك تشين,الزراعة,نظام مخصص لـ المزارع يعمل بالبلوك تشين ويهدف لتسريع الإجراءات ضمن قطاع الزراعة.,المزارع
3005,نظام مراقبة المستشفيات بالبلوك تشين,الصحة,نظام مراقبة مخصص لـ المستشفيات يعمل بالبلوك تشين ويهدف لتسهيل الوصول للخدمات ضمن قطاع الصحة.,المستشفيات
3006,منصة موحدة المنازل بالذكاء الاصطناعي,الطاقة,منصة موحدة مخصص لـ المنازل يعمل بالذكاء الاصطناعي ويهدف لرفع جودة الحياة ضمن قطاع الطاقة.,المنازل
3007,منصة موحدة الحجاج بتحليل البيانات,الصحة,منصة موحدة مخصص لـ الحجاج يعمل بتحليل البيانات ويهدف لتقليل التكاليف ضمن قطاع الصحة.,الحجاج
3008,لوحة تحكم المؤجرين بالتحليلات التنبؤية,العقارات,لوحة تحكم مخصص لـ المؤجرين يعمل بالتحليلات التنبؤية ويهدف لتسريع الإجراءات ضمن قطاع العقارات.,المؤجرين
3009,مساعد ذكي الجامعات بالواقع الافتراضي,التعليم,مساعد ذكي مخصص لـ الجامعات يعمل بالواقع الافتراضي ويهدف لرفع كفاءة التشغيل ضمن قطاع التعليم.,الجامعات
3010,منصة جدة بالواقع المعزز,المدن الذكية,منصة مخصص لـ جدة يعمل بالواقع المعزز ويهدف لتسهيل الوصول للخدمات ضمن قطاع المدن الذكية.,جدة
3011,نظام المدارس بالواقع الافتراضي,التعليم,نظام مخصص لـ المدارس يعمل بالواقع الافتراضي ويهدف لرفع جودة الحياة ضمن قطاع التعليم.,المدارس
3012,مساعد ذكي الشركات باستخدام إنترنت الأشياء,الأمن السيبراني,مساعد ذكي مخصص لـ الشركات يعمل باستخدام إنترنت الأشياء ويهدف لتقليل التكاليف ضمن قطاع الأمن السيبراني.,الشركات
3013,منصة المجمعات السكنية بالواقع المعزز,العقارات,منصة مخصص لـ المجمعات السكنية يعمل بالواقع المعزز ويهدف لتسهيل الوصول للخدمات ضمن قطاع العقارات.,المجمعات السكنية
3014,تطبيق الجامعات بالذكاء الاصطناعي,المدن الذكية,تطبيق مخصص لـ الجامعات يعمل بالذكاء الاصطناعي ويهدف لتسريع الإجراءات ضمن قطاع المدن الذكية.,الجامعات
3015,محرك توصيات الجهات الحكومية بالبلوك تشين,الأمن السيبراني,محرك توصيات مخصص لـ الجهات الحكومية يعمل بالبلوك تشين ويهدف لرفع جودة الحياة ضمن قطاع الأمن السيبراني.,الجهات الحكومية
3016,تطبيق المستشفيات بالواقع المعزز,الأمن السيبراني,تطبيق مخصص لـ المستشفيات يعمل بالواقع المعزز ويهدف لتقليل التكاليف ضمن قطاع الأمن السيبراني.,المستشفيات
3017,خدمة ذكية الأحياء بالواقع الافتراضي,العقارات,خدمة ذكية مخصص لـ الأحياء يعمل بالواقع الافتراضي ويهدف لتحسين الاستدامة ضمن قطاع العقارات.,الأحياء
3018,محرك توصيات البنوك بالتحليلات التنبؤية,الأمن السيبراني,محرك توصيات مخصص لـ البنوك يعمل بالتحليلات التنبؤية ويهدف لتحسين تجربة المستخدم ضمن قطاع الأمن السيبراني.,البنوك
3019,خدمة ذكية المنازل بالذكاء الاصطناعي,الطاقة,خدمة ذكية مخصص لـ المنازل يعمل بالذكاء الاصطناعي ويهدف لدعم رؤية 2030 ضمن قطاع الطاقة.,المنازل
3020,نظام الحملات بالتحليلات التنبؤية,الحج والعمرة,نظام مخصص لـ الحملات يعمل بالتحليلات التنبؤية ويهدف لتقليل التكاليف ضمن قطاع الحج والعمرة.,الحملات
3021,نظام المدارس باستخدام إنترنت الأشياء,التعليم,نظام مخصص لـ المدارس يعمل باستخدام إنترنت الأشياء ويهدف لتسريع الإجراءات ضمن قطاع التعليم.,المدارس
3022,نظام مراقبة المعلمين بالذكاء الاصطناعي,التعليم,نظام مراقبة مخصص لـ المعلمين يعمل بالذكاء الاصطناعي ويهدف لتحسين الاستدامة ضمن قطاع التعليم.,المعلمين
3023,لوحة تحكم المقاهي بالواقع المعزز,التجارة الإلكترونية,لوحة تحكم مخصص لـ المقاهي يعمل بالواقع المعزز ويهدف لرفع كفاءة التشغيل ضمن قطاع التجارة الإلكترونية.,المقاهي
3024,لوحة تحكم الشركات بالروبوتات الذكية,الأمن السيبراني,لوحة تحكم مخصص لـ الشركات يعمل بالروبوتات الذكية ويهدف لتسريع الإجراءات ضمن قطاع الأمن السيبراني.,الشركات
3025,منصة النخيل بالبلوك تشين,الزراعة,منصة مخصص لـ النخيل يعمل بالبلوك تشين ويهدف لرفع جودة الحياة ضمن قطاع الزراعة.,النخيل
3026,منصة موحدة الجامعات بالتحليلات التنبؤية,المدن الذكية,منصة موحدة مخصص لـ الجامعات يعمل بالتحليلات التنبؤية ويهدف لتحسين تجربة المستخدم ضمن قطاع المدن الذكية.,الجامعات
3027,منصة موحدة الأسر المنتجة بالتحليلات التنبؤية,التجارة الإلكترونية,منصة موحدة مخصص لـ الأسر المنتجة يعمل بالتحليلات التنبؤية ويهدف لتحسين تجربة المستخدم ضمن قطاع التجارة الإلكترونية.,الأسر المنتجة
3028,منصة موحدة الأطفال بالبلوك تشين,التعليم,منصة موحدة مخصص لـ الأطفال يعمل بالبلوك تشين ويهدف لرفع جودة الحياة ضمن قطاع التعليم.,الأطفال
3029,تطبيق المنازل الذكية باستخدام إنترنت الأشياء,الأمن السيبراني,تطبيق مخصص لـ المنازل الذكية يعمل باستخدام إنترنت الأشياء ويهدف لرفع جودة الحياة ضمن قطاع الأمن السيبراني.,المنازل الذكية
3030,مساعد ذكي المجمعات السكنية بالنماذج اللغوية,العقارات,مساعد ذكي مخصص لـ المجمعات السكنية يعمل بالنماذج اللغوية ويهدف لتسريع الإجراءات ضمن قطاع العقارات.,المجمعات السكنية
3031,لوحة تحكم الحملات بالتحليلات التنبؤية,الحج والعمرة,لوحة تحكم مخصص لـ الحملات يعمل بالتحليلات التنبؤية ويهدف لتقليل التكاليف ضمن قطاع الحج والعمرة.,الحملات
3032,مساعد ذكي المشاعر المقدسة بالبلوك تشين,الحج والعمرة,مساعد ذكي مخصص لـ المشاعر المقدسة يعمل بالبلوك تشين ويهدف لرفع كفاءة التشغيل ضمن قطاع الحج والعمرة.,المشاعر المقدسة
3033,نظام الشركات بالنماذج اللغوية,الأمن السيبراني,نظام مخصص لـ الشركات يعمل بالنماذج اللغوية ويهدف لتعزيز الأمان ضمن قطاع الأمن السيبراني.,الشركات
3034,محرك توصيات المباني الحكومية بالنماذج اللغوية,الطاقة,محرك توصيات مخصص لـ المباني الحكومية يعمل بالنماذج اللغوية ويهدف لتعزيز الأمان ضمن قطاع الطاقة.,المباني الحكومية
3035,محرك توصيات المستثمرين بالواقع الافتراضي,المالية,محرك توصيات مخصص لـ المستثمرين يعمل بالواقع الافتراضي ويهدف لتقليل الهدر ضمن قطاع المالية.,المستثمرين
3036,خدمة ذكية المنازل الذكية بالنماذج اللغوية,الأمن السيبراني,خدمة ذكية مخصص لـ المنازل الذكية يعمل بالنماذج اللغوية ويهدف لرفع جودة الحياة ضمن قطاع الأمن السيبراني.,المنازل الذكية
3037,منصة الطلاب بالحوسبة السحابية,العقارات,منصة مخصص لـ الطلاب يعمل بالحوسبة السحابية ويهدف لتقليل الهدر ضمن قطاع العقارات.,الطلاب
3038,نظام مراقبة المدارس بالحوسبة السحابية,التعليم,نظام مراقبة مخصص لـ المدارس يعمل بالحوسبة السحابية ويهدف لتعزيز الأمان ضمن قطاع التعليم.,المدارس
3039,خدمة ذكية البنوك بالبلوك تشين,الأمن السيبراني,خدمة ذكية مخصص لـ البنوك يعمل بالبلوك تشين ويهدف لرفع كفاءة التشغيل ضمن قطاع الأمن السيبراني.,البنوك
3040,منصة المدارس بتحليل البيانات,التعليم,منصة مخصص لـ المدارس يعمل بتحليل البيانات ويهدف لتعزيز الأمان ضمن قطاع التعليم.,المدارس
3041,محرك توصيات الأسر المنتجة بالبلوك تشين,التجارة الإلكترونية,محرك توصيات مخصص لـ الأسر المنتجة يعمل بالبلوك تشين ويهدف لتسهيل الوصول للخدمات ضمن قطاع التجارة الإلكترونية.,الأسر المنتجة
3042,تطبيق النخيل بالذكاء الاصطناعي,الزراعة,تطبيق مخصص لـ النخيل يعمل بالذكاء الاصطناعي ويهدف لتقليل التكاليف ضمن قطاع الزراعة.,النخيل
3043,نظام مراقبة الأطفال بالروبوتات الذكية,الصحة,نظام مراقبة مخصص لـ الأطفال يعمل بالروبوتات الذكية ويهدف لتحسين تجربة المستخدم ضمن قطاع الصحة.,الأطفال
3044,نظام مراقبة المزارع بالنماذج اللغوية,الزراعة,نظام مراقبة مخصص لـ المزارع يعمل بالنماذج اللغوية ويهدف لرفع جودة الحياة ضمن قطاع الزراعة.,المزارع
3045,منصة موحدة الشركات بتحليل البيانات,الأمن السيبراني,منصة موحدة مخصص لـ الشركات يعمل بتحليل البيانات ويهدف لرفع كفاءة التشغيل ضمن قطاع الأمن السيبراني.,الشركات
3046,لوحة تحكم المتاجر الصغيرة بالذكاء الاصطناعي,التجارة الإلكترونية,لوحة تحكم مخصص لـ المتاجر الصغيرة يعمل بالذكاء الاصطناعي ويهدف لتحسين تجربة المستخدم ضمن قطاع التجارة الإلكترونية.,المتاجر الصغيرة
3047,تطبيق المصانع بالواقع المعزز,الطاقة,تطبيق مخصص لـ المصانع يعمل بالواقع المعزز ويهدف لتحسين تجربة المستخدم ضمن قطاع الطاقة.,المصانع
3048,تطبيق الرياضيين بالواقع المعزز,الصحة,تطبيق مخصص لـ الرياضيين يعمل بالواقع المعزز ويهدف لرفع كفاءة التشغيل ضمن قطاع الصحة.,الرياضيين
3049,منصة الحملات بالذكاء الاصطناعي,الحج والعمرة,منصة مخصص لـ الحملات يعمل بالذكاء الاصطناعي ويهدف لتعزيز الأمان ضمن قطاع الحج والعمرة.,الحملات
3050,منصة موحدة الحملات بالبلوك تشين,الحج والعمرة,منصة موحدة مخصص لـ الحملات يعمل بالبلوك تشين ويهدف لتحسين تجربة المستخدم ضمن قطاع الحج والعمرة.,الحملات
3051,تطبيق الحجاج بالذكاء الاصطناعي,الحج والعمرة,تطبيق مخصص لـ الحجاج يعمل بالذكاء الاصطناعي ويهدف لتعزيز الأمان ضمن قطاع الحج والعمرة.,الحجاج
3052,محرك توصيات المجمعات السكنية بتحليل البيانات,العقارات,محرك توصيات مخصص لـ المجمعات السكنية يعمل بتحليل البيانات ويهدف لتعزيز الأمان ضمن قطاع العقارات.,المجمعات السكنية
3053,لوحة تحكم الحملات بالذكاء الاصطناعي,الحج والعمرة,لوحة تحكم مخصص لـ الحملات يعمل بالذكاء الاصطناعي ويهدف لرفع جودة الحياة ضمن قطاع الحج والعمرة.,الحملات
3054,نظام مراقبة الطلاب بتحليل البيانات,المالية,نظام مراقبة مخصص لـ الطلاب يعمل بتحليل البيانات ويهدف لرفع جودة الحياة ضمن قطاع المالية.,الطلاب
3055,منصة موحدة المصانع بالروبوتات الذكية,الطاقة,منصة موحدة مخصص لـ المصانع يعمل بالروبوتات الذكية ويهدف لرفع كفاءة التشغيل ضمن قطاع الطاقة.,المصانع
3056,تطبيق المطاعم بالروبوتات الذكية,التجارة الإلكترونية,تطبيق مخصص لـ المطاعم يعمل بالروبوتات الذكية ويهدف لرفع كفاءة التشغيل ضمن قطاع التجارة الإلكترونية.,المطاعم
3057,نظام مراقبة الأحياء السكنية بالحوسبة السحابية,المدن الذكية,نظام مراقبة مخصص لـ الأحياء السكنية يعمل بالحوسبة السحابية ويهدف لتقليل الهدر ضمن قطاع المدن الذكية.,الأحياء السكنية
3058,تطبيق المشاعر المقدسة بالواقع المعزز,الحج والعمرة,تطبيق مخصص لـ المشاعر المقدسة يعمل بالواقع المعزز ويهدف لتقليل الهدر ضمن قطاع الحج والعمرة.,المشاعر المقدسة
3059,نظام مراقبة الحجاج باستخدام إنترنت الأشياء,الحج والعمرة,نظام مراقبة مخصص لـ الحجاج يعمل باستخدام إنترنت الأشياء ويهدف لتقليل الهدر ضمن قطاع الحج والعمرة.,الحجاج
3060,محرك توصيات ذوي الإعاقة بالواقع المعزز,التعليم,محرك توصيات مخصص لـ ذوي الإعاقة يعمل بالواقع المعزز ويهدف لرفع جودة الحياة ضمن قطاع التعليم.,ذوي الإعاقة
3061,تطبيق المنازل بالواقع المعزز,الطاقة,تطبيق مخصص لـ المنازل يعمل بالواقع المعزز ويهدف لتقليل التكاليف ضمن قطاع الطاقة.,المنازل
3062,نظام مراقبة الحملات بالواقع المعزز,الحج والعمرة,نظام مراقبة مخصص لـ الحملات يعمل بالواقع المعزز ويهدف لتحسين تجربة المستخدم ضمن قطاع الحج والعمرة.,الحملات
3063,لوحة تحكم المستثمرين باستخدام إنترنت الأشياء,المالية,لوحة تحكم مخصص لـ المستثمرين يعمل باستخدام إنترنت الأشياء ويهدف لتسريع الإجراءات ضمن قطاع المالية.,المستثمرين
3064,تطبيق المطاعم بالحوسبة السحابية,التجارة الإلكترونية,تطبيق مخصص لـ المطاعم يعمل بالحوسبة السحابية ويهدف لتعزيز الأمان ضمن قطاع التجارة الإلكترونية.,المطاعم
3065,تطبيق المستشفيات بالروبوتات الذكية,الأمن السيبراني,تطبيق مخصص لـ المستشفيات يعمل بالروبوتات الذكية ويهدف لتسريع الإجراءات ضمن قطاع الأمن السيبراني.,المستشفيات
3066,مساعد ذكي الأحياء بالواقع الافتراضي,العقارات,مساعد ذكي مخصص لـ الأحياء يعمل بالواقع الافتراضي ويهدف لتسريع الإجراءات ضمن قطاع العقارات.,الأحياء
3067,حل رقمي المستشفيات بالروبوتات الذكية,الأمن السيبراني,حل رقمي مخصص لـ المستشفيات يعمل بالروبوتات الذكية ويهدف لرفع كفاءة التشغيل ضمن قطاع الأمن السيبراني.,المستشفيات
3068,نظام جدة باستخدام إنترنت الأشياء,المدن الذكية,نظام مخصص لـ جدة يعمل باستخدام إنترنت الأشياء ويهدف لتحسين تجربة المستخدم ضمن قطاع المدن الذكية.,جدة
3069,منصة المستشفيات بالواقع الافتراضي,الصحة,منصة مخصص لـ المستشفيات يعمل بالواقع الافتراضي ويهدف لرفع كفاءة التشغيل ضمن قطاع الصحة.,المستشفيات
3070,محرك توصيات النخيل بالواقع الافتراضي,الزراعة,محرك توصيات مخصص لـ النخيل يعمل بالواقع الافتراضي ويهدف لتعزيز الأمان ضمن قطاع الزراعة.,النخيل
3071,تطبيق المجمعات السكنية بالواقع المعزز,العقارات,تطبيق مخصص لـ المجمعات السكنية يعمل بالواقع المعزز ويهدف لدعم رؤية 2030 ضمن قطاع العقارات.,المجمعات السكنية
3072,منصة المدارس بالنماذج اللغوية,التعليم,منصة مخصص لـ المدارس يعمل بالنماذج اللغوية ويهدف لتقليل الهدر ضمن قطاع التعليم.,المدارس
3073,نظام الرياضيين بالبلوك تشين,الصحة,نظام مخصص لـ الرياضيين يعمل بالبلوك تشين ويهدف لتسهيل الوصول للخدمات ضمن قطاع الصحة.,الرياضيين
3074,حل رقمي الجهات الحكومية بالبلوك تشين,الأمن السيبراني,حل رقمي مخصص لـ الجهات الحكومية يعمل بالبلوك تشين ويهدف لتسهيل الوصول للخدمات ضمن قطاع الأمن السيبراني.,الجهات الحكومية
3075,منصة الأسر المنتجة بالتحليلات التنبؤية,التجارة الإلكترونية,منصة مخصص لـ الأسر المنتجة يعمل بالتحليلات التنبؤية ويهدف لتعزيز الأمان ضمن قطاع التجارة الإلكترونية.,الأسر المنتجة
3076,محرك توصيات كبار السن بالذكاء الاصطناعي,الصحة,محرك توصيات مخصص لـ كبار السن يعمل بالذكاء الاصطناعي ويهدف لتسريع الإجراءات ضمن قطاع الصحة.,كبار السن
3077,حل رقمي المتاجر الصغيرة بالواقع الافتراضي,التجارة الإلكترونية,حل رقمي مخصص لـ المتاجر الصغيرة يعمل بالواقع الافتراضي ويهدف لرفع جودة الحياة ضمن قطاع التجارة الإلكترونية.,المتاجر الصغيرة
3078,تطبيق الحملات بالذكاء الاصطناعي,الحج والعمرة,تطبيق مخصص لـ الحملات يعمل بالذكاء الاصطناعي ويهدف لتقليل الهدر ضمن قطاع الحج والعمرة.,الحملات
3079,منصة موحدة المصانع بالتحليلات التنبؤية,الطاقة,منصة موحدة مخصص لـ المصانع يعمل بالتحليلات التنبؤية ويهدف لرفع كفاءة التشغيل ضمن قطاع الطاقة.,المصانع
3080,منصة موحدة المنازل بتحليل البيانات,الطاقة,منصة موحدة مخصص لـ المنازل يعمل بتحليل البيانات ويهدف لتسهيل الوصول للخدمات ضمن قطاع الطاقة.,المنازل
3081,حل رقمي البيوت المحمية بالحوسبة السحابية,الزراعة,حل رقمي مخصص لـ البيوت المحمية يعمل بالحوسبة السحابية ويهدف لتسريع الإجراءات ضمن قطاع الزراعة.,البيوت المحمية
3082,مساعد ذكي المجمعات السكنية بالتحليلات التنبؤية,العقارات,مساعد ذكي مخصص لـ المجمعات السكنية يعمل بالتحليلات التنبؤية ويهدف لتسريع الإجراءات ضمن قطاع العقارات.,المجمعات السكنية
3083,منصة المؤجرين بالذكاء الاصطناعي,العقارات,منصة مخصص لـ المؤجرين يعمل بالذكاء الاصطناعي ويهدف لتعزيز الأمان ضمن قطاع العقارات.,المؤجرين
3084,تطبيق العمالة بتحليل البيانات,المالية,تطبيق مخصص لـ العمالة يعمل بتحليل البيانات ويهدف لتحسين تجربة المستخدم ضمن قطاع المالية.,العمالة
3085,محرك توصيات الحج بالواقع الافتراضي,المدن الذكية,محرك توصيات مخصص لـ الحج يعمل بالواقع الافتراضي ويهدف لتحسين تجربة المستخدم ضمن قطاع المدن الذكية.,الحج
3086,منصة الحجاج بالذكاء الاصطناعي,الحج والعمرة,منصة مخصص لـ الحجاج يعمل بالذكاء الاصطناعي ويهدف لتسريع الإجراءات ضمن قطاع الحج والعمرة.,الحجاج
3087,محرك توصيات المستثمرين بالبلوك تشين,المالية,محرك توصيات مخصص لـ المستثمرين يعمل بالبلوك تشين ويهدف لرفع كفاءة التشغيل ضمن قطاع المالية.,المستثمرين
3088,مساعد ذكي البيوت المحمية بالتحليلات التنبؤية,الزراعة,مساعد ذكي مخصص لـ البيوت المحمية يعمل بالتحليلات التنبؤية ويهدف لرفع كفاءة التشغيل ضمن قطاع الزراعة.,البيوت المحمية
3089,محرك توصيات الحملات بالذكاء الاصطناعي,الحج والعمرة,محرك توصيات مخصص لـ الحملات يعمل بالذكاء الاصطناعي ويهدف لرفع جودة الحياة ضمن قطاع الحج والعمرة.,الحملات
3090,مساعد ذكي الأطفال بالذكاء الاصطناعي,التعليم,مساعد ذكي مخصص لـ الأطفال يعمل بالذكاء الاصطناعي ويهدف لتقليل الهدر ضمن قطاع التعليم.,الأطفال
3091,مساعد ذكي المباني الحكومية بالبلوك تشين,الطاقة,مساعد ذكي مخصص لـ المباني الحكومية يعمل بالبلوك تشين ويهدف لتقليل التكاليف ضمن قطاع الطاقة.,المباني الحكومية
3092,خدمة ذكية المزارع بتحليل البيانات,الزراعة,خدمة ذكية مخصص لـ المزارع يعمل بتحليل البيانات ويهدف لتقليل الهدر ضمن قطاع الزراعة.,المزارع
3093,حل رقمي الرياض بالذكاء الاصطناعي,المدن الذكية,حل رقمي مخصص لـ الرياض يعمل بالذكاء الاصطناعي ويهدف لدعم رؤية 2030 ضمن قطاع المدن الذكية.,الرياض
3094,لوحة تحكم المزارع المنزلية بالحوسبة السحابية,الزراعة,لوحة تحكم مخصص لـ المزارع المنزلية يعمل بالحوسبة السحابية ويهدف لرفع جودة الحياة ضمن قطاع الزراعة.,المزارع المنزلية
3095,مساعد ذكي الأحياء السكنية بالبلوك تشين,المدن الذكية,مساعد ذكي مخصص لـ الأحياء السكنية يعمل بالبلوك تشين ويهدف لتقليل الهدر ضمن قطاع المدن الذكية.,الأحياء السكنية
3096,خدمة ذكية البنوك بالتحليلات التنبؤية,الأمن السيبراني,خدمة ذكية مخصص لـ البنوك يعمل بالتحليلات التنبؤية ويهدف لتحسين الاستدامة ضمن قطاع الأمن السيبراني.,البنوك
3097,نظام النخيل بالبلوك تشين,الزراعة,نظام مخصص لـ النخيل يعمل بالبلوك تشين ويهدف لدعم رؤية 2030 ضمن قطاع الزراعة.,النخيل
3098,نظام مراقبة المصانع بالذكاء الاصطناعي,الطاقة,نظام مراقبة مخصص لـ المصانع يعمل بالذكاء الاصطناعي ويهدف لتعزيز الأمان ضمن قطاع الطاقة.,المصانع
3099,خدمة ذكية المعلمين بالحوسبة السحابية,التعليم,خدمة ذكية مخصص لـ المعلمين يعمل بالحوسبة السحابية ويهدف لتعزيز الأمان ضمن قطاع التعليم.,المعلمين
3100,نظام المتاجر الصغيرة بالواقع المعزز,التجارة الإلكترونية,نظام مخصص لـ المتاجر الصغيرة يعمل بالواقع المعزز ويهدف لتحسين الاستدامة ضمن قطاع التجارة الإلكترونية.,المتاجر الصغيرة
3101,مساعد ذكي الأطفال بالواقع المعزز,التعليم,مساعد ذكي مخصص لـ الأطفال يعمل بالواقع المعزز ويهدف لتقليل الهدر ضمن قطاع التعليم.,الأطفال
3102,منصة المستثمرين بالحوسبة السحابية,المالية,منصة مخصص لـ المستثمرين يعمل بالحوسبة السحابية ويهدف لتسهيل الوصول للخدمات ضمن قطاع المالية.,المستثمرين
3103,نظام مراقبة المعلمين بالتحليلات التنبؤية,التعليم,نظام مراقبة مخصص لـ المعلمين يعمل بالتحليلات التنبؤية ويهدف لتعزيز الأمان ضمن قطاع التعليم.,المعلمين
3104,نظام مراقبة الأحياء بالنماذج اللغوية,العقارات,نظام مراقبة مخصص لـ الأحياء يعمل بالنماذج اللغوية ويهدف لتسريع الإجراءات ضمن قطاع العقارات.,الأحياء
3105,نظام مراقبة الأحياء باستخدام إنترنت الأشياء,العقارات,نظام مراقبة مخصص لـ الأحياء يعمل باستخدام إنترنت الأشياء ويهدف لدعم رؤية 2030 ضمن قطاع العقارات.,الأحياء
3106,خدمة ذكية البنوك بالنماذج اللغوية,الأمن السيبراني,خدمة ذكية مخصص لـ البنوك يعمل بالنماذج اللغوية ويهدف لتسهيل الوصول للخدمات ضمن قطاع الأمن السيبراني.,البنوك
3107,نظام المزارع بتحليل البيانات,الزراعة,نظام مخصص لـ المزارع يعمل بتحليل البيانات ويهدف لتقليل الهدر ضمن قطاع الزراعة.,المزارع
